date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2022-01-18,sell,151.6999969482422,-1084.1868274883007,164471.13842129958,0.225,0.21250000000000002,10581518.763269784,13156634.01769735,13073693.725394493,2022-01-18,151.6999969482422
2022-01-21,sell,143.85000610351562,-989.2244043289768,142299.93660046993,0.21250000000000002,0.2015625,10722904.138177725,13009365.356064701,12942825.716195807,2022-01-21,143.85000610351562
2022-04-15,buy,127.75,29723.36134193763,3797159.411432532,0.2015625,0.5,6924123.339676511,12721844.7035953,12577429.552607454,2022-04-15,127.75
2022-04-18,buy,124.8499984741211,30222.097812555054,3773228.8657822367,0.5,0.8,3149283.305168585,12575818.383881764,12753121.726637512,2022-04-18,124.8499984741211
2022-04-19,buy,127.0500030517578,10037.875970331246,1275312.172663751,0.8,0.9,1873426.5742071064,12752577.168339785,12815815.511254376,2022-04-19,127.0500030517578
2022-04-20,buy,127.75,5015.974759786442,640790.7755627179,0.9,0.95,1232362.1809832233,12815541.89359321,13010914.401330156,2022-04-20,127.75
2022-04-21,buy,129.8000030517578,2505.954178626263,325272.8600332542,0.95,0.975,906950.4294387347,13010775.509818923,12575866.714735767,2022-04-21,129.8000030517578
2022-04-22,buy,125.3499984741211,1254.0752760092935,157198.33393419793,0.975,0.9875,749684.9718159469,12575799.591047177,12273630.606808119,2022-04-22,125.3499984741211
2022-04-27,buy,116.1999969482422,1098.368359670991,127630.40004181494,0.9875,0.9984375,622000.0735933142,11669010.648499476,11759249.607727498,2022-04-27,116.1999969482422
2022-06-06,sell,120.6999969482422,-29968.18205538494,3617159.482629329,0.9984375,0.6999999999534339,4215912.072227784,12097077.482086591,12005698.38383012,2022-06-06,120.6999969482422
2022-06-07,sell,119.4000015258789,-30165.070927148216,3601709.5147297424,0.6999999999534339,0.39999999998835845,7794473.39990636,11982550.196778953,12022770.291351996,2022-06-07,119.4000015258789
2022-06-08,sell,120.4000015258789,-9985.689483623459,1202277.0290652174,0.39999999998835845,0.29999999999417926,8989023.394505773,12015043.256886194,12003060.383794522,2022-06-08,120.4000015258789
2022-06-09,sell,120.0,-5001.275159623272,600153.0191547927,0.29999999999417926,0.24999999999708963,9585319.23020646,11999203.200340414,11934186.661418986,2022-06-09,120.0
2022-06-10,sell,117.4000015258789,-2541.351470530781,298354.66651810834,0.24999999999708963,0.2249999999985448,9881756.371282857,11932269.135977274,11832775.260800997,2022-06-10,117.4000015258789
2022-06-13,sell,113.0500030517578,-1308.356362305318,147909.69075140293,0.2249999999985448,0.2124999999992724,10028715.446451802,11831824.645218538,11784004.186234972,2022-06-13,113.0500030517578
2022-06-16,sell,114.6500015258789,-1132.2263384759312,129809.75143390581,0.2124999999992724,0.20156249999990905,10157690.910613239,11867485.844518315,11703693.161824275,2022-06-16,114.6500015258789
2022-06-20,buy,106.9499969482422,32753.210667300355,3502955.780912907,0.20156249999990905,0.5007812499999545,6653239.367581884,11705510.503071731,11686324.730806267,2022-06-20,106.9499969482422
2022-06-21,buy,106.5999984741211,32824.10894400504,3499049.963345322,0.5007812499999545,0.8001953124999887,3152695.309902213,11684830.636471918,11803257.446754407,2022-06-21,106.5999984741211
2022-06-22,buy,107.9499969482422,10923.326689678739,1179173.0828154725,0.8001953124999887,0.9000976562499943,1973018.7201803783,11802753.939848045,11546870.62427538,2022-06-22,107.9499969482422
2022-06-23,buy,105.3499984741211,5474.890626726353,576779.7191716011,0.9000976562499943,0.9500488281249971,1395992.7160686909,11546624.339335294,11463320.84969027,2022-06-23,105.3499984741211
