date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2020-06-10,556820.51304150,1.59643078,556818.91661072,0.00000000
2020-06-11,535592.80473614,1.59643078,535591.20830536,0.00000000
2020-06-12,527863.75470257,1.59643078,527862.15827179,0.00000000
2020-06-15,514147.37144756,1.59643078,514145.77501678,0.00000000
2020-06-16,539076.32141399,1.59643078,539074.72498322,0.00000000
2020-06-17,539947.17982006,1.59643078,539945.58338928,0.00000000
2020-06-18,543430.69649792,1.59643078,543429.10006714,0.00000000
2020-06-19,544301.59643078,1.59643078,544300.00000000,0.00000000
2020-06-22,545934.51304150,1.59643078,545932.91661072,0.00000000
2020-06-23,549744.59643078,1.59643078,549743.00000000,0.00000000
2020-06-24,555731.88812542,1.59643078,555730.29169464,0.00000000
2020-06-29,541144.64646435,1.59643078,541143.05003357,0.00000000
2020-06-30,553010.38812542,1.59643078,553008.79169464,0.00000000
2020-07-01,560630.59643078,1.59643078,560629.00000000,0.00000000
2020-07-02,574238.09643078,1.59643078,574236.50000000,0.00000000
2020-07-03,586757.01304150,1.59643078,586755.41661072,0.00000000
2020-07-06,609073.30473614,1.59643078,609071.70830536,0.00000000
2020-07-07,609073.30473614,1.59643078,609071.70830536,0.00000000
2020-07-08,617237.80473614,1.59643078,617236.20830536,0.00000000
2020-07-09,620503.59643078,1.59643078,620502.00000000,0.00000000
2020-07-10,606351.80473614,1.59643078,606350.20830536,0.00000000
2020-07-13,625946.59643078,1.59643078,625945.00000000,0.00000000
2020-07-14,625402.30473614,1.59643078,625400.70830536,0.00000000
2020-07-15,630301.01304150,1.59643078,630299.41661072,0.00000000
2020-07-16,621047.88812542,1.59643078,621046.29169464,0.00000000
2020-07-17,628668.09643078,1.59643078,628666.50000000,0.00000000
2020-07-20,628668.09643078,1.59643078,628666.50000000,0.00000000
2020-07-21,656427.38812542,1.59643078,656425.79169464,0.00000000
2020-07-22,659693.17982006,1.59643078,659691.58338928,0.00000000
2020-07-23,657516.01304150,1.59643078,657514.41661072,0.00000000
2020-07-24,644997.09643078,1.59643078,644995.50000000,0.00000000
2020-07-27,686908.17982006,1.59643078,686906.58338928,0.00000000
2020-07-28,683098.09643078,1.59643078,683096.50000000,0.00000000
2020-07-29,679288.01304150,1.59643078,679286.41661072,0.00000000
2020-07-30,696161.30473614,1.59643078,696159.70830536,0.00000000
2020-07-31,696161.30473614,1.59643078,696159.70830536,0.00000000
2020-08-03,676022.17982006,1.59643078,676020.58338928,0.00000000
2020-08-04,696705.59643078,1.59643078,696704.00000000,0.00000000
2020-08-05,708680.17982006,1.59643078,708678.58338928,0.00000000
2020-08-06,721199.09643078,1.59643078,721197.50000000,0.00000000
2020-08-07,711946.01304150,1.59643078,711944.41661072,0.00000000
2020-08-10,724464.92965221,1.59643078,724463.33322144,0.00000000
2020-08-11,711401.67982006,1.59643078,711400.08338928,0.00000000
2020-08-12,696161.30473614,1.59643078,696159.70830536,0.00000000
2020-08-13,708680.17982006,1.59643078,708678.58338928,0.00000000
2020-08-14,713578.92965221,1.59643078,713577.33322144,0.00000000
2020-08-17,732085.09643078,1.59643078,732083.50000000,0.00000000
2020-08-18,722832.01304150,1.59643078,722830.41661072,0.00000000
2020-08-19,713034.59643078,1.59643078,713033.00000000,0.00000000
2020-08-20,660781.80473614,1.59643078,660780.20830536,0.00000000
2020-08-21,690174.01304150,1.59643078,690172.41661072,0.00000000
2020-08-24,694528.38812542,1.59643078,694526.79169464,0.00000000
2020-08-25,708680.17982006,1.59643078,708678.58338928,0.00000000
2020-08-26,714667.51304150,1.59643078,714665.91661072,0.00000000
2020-08-27,712490.26320934,1.59643078,712488.66677856,0.00000000
2020-08-28,702148.59643078,1.59643078,702147.00000000,0.00000000
